"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 02 14:52:51 UTC 2026","Mon Feb 02 14:52:56 UTC 2026","4816","tests","test_manage_devices_demo","TestLoginAndDeviceManagement","","","test_login_with_invalid_credentials",""
"broken","Mon Feb 02 14:52:57 UTC 2026","Mon Feb 02 14:52:58 UTC 2026","665","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC02_invalid_login_credentials","
        TC02: System prevents access with incorrect credentials.
        "
"broken","Mon Feb 02 14:53:02 UTC 2026","Mon Feb 02 14:53:03 UTC 2026","668","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC10_session_timeout_during_workflow","
        TC10: System handles session timeout gracefully.
        "
"broken","Mon Feb 02 14:53:00 UTC 2026","Mon Feb 02 14:53:01 UTC 2026","666","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC07_navigation_to_manage_section","
        TC07: User can navigate to Manage section after login.
        "
"broken","Mon Feb 02 14:52:58 UTC 2026","Mon Feb 02 14:52:58 UTC 2026","667","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC03_welcome_modal_handling","
        TC03: Workflow continues if welcome modal appears or not.
        "
"broken","Mon Feb 02 14:52:59 UTC 2026","Mon Feb 02 14:53:00 UTC 2026","667","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC05_device_list_loads_with_many_devices","
        TC05: System handles large device list without performance issues.
        "
"broken","Mon Feb 02 14:53:01 UTC 2026","Mon Feb 02 14:53:02 UTC 2026","665","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC08_access_control_for_device_users_section","
        TC08: Only authorized users can access Device Users.
        "
"failed","Mon Feb 02 14:52:43 UTC 2026","Mon Feb 02 14:52:51 UTC 2026","8266","tests","test_manage_devices_demo","TestLoginAndDeviceManagement","","","test_login_and_device_management_flow",""
"broken","Mon Feb 02 14:53:00 UTC 2026","Mon Feb 02 14:53:00 UTC 2026","665","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC06_device_list_fails_to_load","
        TC06: System shows error if device list cannot be retrieved.
        "
"broken","Mon Feb 02 14:52:56 UTC 2026","Mon Feb 02 14:52:57 UTC 2026","665","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC01_successful_login_and_device_list_retrieval","
        TC01: Registered user logs in, handles modal, navigates to Device Users, views devices.
        "
"passed","Mon Feb 02 14:52:29 UTC 2026","Mon Feb 02 14:52:43 UTC 2026","13806","tests","test_manage_devices","","","","test_login_and_manage_devices",""
"broken","Mon Feb 02 14:52:58 UTC 2026","Mon Feb 02 14:52:59 UTC 2026","665","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC04_device_list_loads_with_no_devices_connected","
        TC04: System displays message if no devices connected.
        "
"broken","Mon Feb 02 14:53:02 UTC 2026","Mon Feb 02 14:53:02 UTC 2026","667","tests","test_manage_devices_demo_2","TestDeviceManagementWorkflow","","","test_TC09_device_list_data_verification","
        TC09: Device list displays correct device info.
        "
